Vylepšena hueristika
Účelová funkcia: 7070
Hmotnosť batohu: 19598
Počet veci v batohu: 350
245. Vec, Cena: 30, Hmotnosť: 63
246. Vec, Cena: 30, Hmotnosť: 63
247. Vec, Cena: 10, Hmotnosť: 21
248. Vec, Cena: 20, Hmotnosť: 42
249. Vec, Cena: 20, Hmotnosť: 42
250. Vec, Cena: 25, Hmotnosť: 52
251. Vec, Cena: 25, Hmotnosť: 51
252. Vec, Cena: 25, Hmotnosť: 51
253. Vec, Cena: 40, Hmotnosť: 80
254. Vec, Cena: 25, Hmotnosť: 50
255. Vec, Cena: 40, Hmotnosť: 80
256. Vec, Cena: 15, Hmotnosť: 30
257. Vec, Cena: 35, Hmotnosť: 70
258. Vec, Cena: 35, Hmotnosť: 70
259. Vec, Cena: 25, Hmotnosť: 50
260. Vec, Cena: 35, Hmotnosť: 70
261. Vec, Cena: 10, Hmotnosť: 20
262. Vec, Cena: 40, Hmotnosť: 79
263. Vec, Cena: 30, Hmotnosť: 59
264. Vec, Cena: 40, Hmotnosť: 78
265. Vec, Cena: 35, Hmotnosť: 68
266. Vec, Cena: 35, Hmotnosť: 68
267. Vec, Cena: 35, Hmotnosť: 68
268. Vec, Cena: 35, Hmotnosť: 68
269. Vec, Cena: 15, Hmotnosť: 29
270. Vec, Cena: 30, Hmotnosť: 58
271. Vec, Cena: 40, Hmotnosť: 77
272. Vec, Cena: 35, Hmotnosť: 67
273. Vec, Cena: 35, Hmotnosť: 67
274. Vec, Cena: 30, Hmotnosť: 57
275. Vec, Cena: 30, Hmotnosť: 57
276. Vec, Cena: 40, Hmotnosť: 76
277. Vec, Cena: 20, Hmotnosť: 38
278. Vec, Cena: 35, Hmotnosť: 66
279. Vec, Cena: 35, Hmotnosť: 66
280. Vec, Cena: 35, Hmotnosť: 66
281. Vec, Cena: 35, Hmotnosť: 66
282. Vec, Cena: 25, Hmotnosť: 47
283. Vec, Cena: 25, Hmotnosť: 47
284. Vec, Cena: 30, Hmotnosť: 56
285. Vec, Cena: 25, Hmotnosť: 46
286. Vec, Cena: 25, Hmotnosť: 46
287. Vec, Cena: 35, Hmotnosť: 64
288. Vec, Cena: 35, Hmotnosť: 64
289. Vec, Cena: 35, Hmotnosť: 64
290. Vec, Cena: 40, Hmotnosť: 73
291. Vec, Cena: 30, Hmotnosť: 54
292. Vec, Cena: 25, Hmotnosť: 45
293. Vec, Cena: 20, Hmotnosť: 36
294. Vec, Cena: 15, Hmotnosť: 27
295. Vec, Cena: 40, Hmotnosť: 72
296. Vec, Cena: 35, Hmotnosť: 63
297. Vec, Cena: 25, Hmotnosť: 45
298. Vec, Cena: 45, Hmotnosť: 80
299. Vec, Cena: 40, Hmotnosť: 71
300. Vec, Cena: 35, Hmotnosť: 62
301. Vec, Cena: 35, Hmotnosť: 62
302. Vec, Cena: 35, Hmotnosť: 62
303. Vec, Cena: 25, Hmotnosť: 44
304. Vec, Cena: 40, Hmotnosť: 70
305. Vec, Cena: 20, Hmotnosť: 35
306. Vec, Cena: 35, Hmotnosť: 61
307. Vec, Cena: 35, Hmotnosť: 61
308. Vec, Cena: 30, Hmotnosť: 52
309. Vec, Cena: 25, Hmotnosť: 43
310. Vec, Cena: 35, Hmotnosť: 60
311. Vec, Cena: 45, Hmotnosť: 77
312. Vec, Cena: 30, Hmotnosť: 51
313. Vec, Cena: 30, Hmotnosť: 51
314. Vec, Cena: 40, Hmotnosť: 68
315. Vec, Cena: 25, Hmotnosť: 42
316. Vec, Cena: 25, Hmotnosť: 42
317. Vec, Cena: 40, Hmotnosť: 67
318. Vec, Cena: 45, Hmotnosť: 75
319. Vec, Cena: 30, Hmotnosť: 50
320. Vec, Cena: 15, Hmotnosť: 25
321. Vec, Cena: 35, Hmotnosť: 58
322. Vec, Cena: 40, Hmotnosť: 66
323. Vec, Cena: 45, Hmotnosť: 74
324. Vec, Cena: 25, Hmotnosť: 41
325. Vec, Cena: 25, Hmotnosť: 41
326. Vec, Cena: 35, Hmotnosť: 57
327. Vec, Cena: 35, Hmotnosť: 57
328. Vec, Cena: 40, Hmotnosť: 65
329. Vec, Cena: 40, Hmotnosť: 65
330. Vec, Cena: 45, Hmotnosť: 73
331. Vec, Cena: 15, Hmotnosť: 24
332. Vec, Cena: 25, Hmotnosť: 40
333. Vec, Cena: 45, Hmotnosť: 72
334. Vec, Cena: 45, Hmotnosť: 72
335. Vec, Cena: 40, Hmotnosť: 63
336. Vec, Cena: 35, Hmotnosť: 55
337. Vec, Cena: 25, Hmotnosť: 39
338. Vec, Cena: 45, Hmotnosť: 70
339. Vec, Cena: 45, Hmotnosť: 70
340. Vec, Cena: 45, Hmotnosť: 70
341. Vec, Cena: 45, Hmotnosť: 70
342. Vec, Cena: 20, Hmotnosť: 31
343. Vec, Cena: 40, Hmotnosť: 62
344. Vec, Cena: 35, Hmotnosť: 54
345. Vec, Cena: 30, Hmotnosť: 46
346. Vec, Cena: 45, Hmotnosť: 69
347. Vec, Cena: 15, Hmotnosť: 23
348. Vec, Cena: 15, Hmotnosť: 23
349. Vec, Cena: 45, Hmotnosť: 69
350. Vec, Cena: 45, Hmotnosť: 69
